title,company,location,salary,job_type,date_listed,description,url,search_keyword
Operations Support,Plexicus,Sleman,"Rp 6,000,000 – Rp 9,000,000 per month",,41m ago,"Plexicus AI ASPM are looking for a someone who doesn't just manage tasks but builds systems. As our Operations Support , you will work directly with the Director to streamline executive workflows, manage high-stakes legal documentation, and maintain our Investor Data Room. This isn't a traditional admin role. We need a startup-minded professional who treats AI as their primary teammate to automate the mundane and focus on high-value strategy. Key Responsibilities Executive Support: Manage complex calendars, travel, and high-level representation at industry forums/events. Governance & Legal: Facilitate MoUs, NDAs, and sales contracts. Maintain a ""due-diligence ready"" digital Data Room for investors. Financial Ops: Track sales expenses, manage business trip budgets, and lead grant/impact reporting. Strategic Research: Rapidly synthesize data to support Director-level decision-making and project reporting. Requirements: The ""Startup-Fit"" AI Power User: You use LLMs (ChatGPT, Claude, Gemini) and automation tools (Zapier, Make, or AI Agents) to 10x your output. The Architect Mindset: You don't just follow a process; you see a mess and build a digital system to fix it. High-Stakes Documentation: Experience with legal/investor documentation and ""Data Room"" management is a massive plus. Radical Ownership: You thrive in fast-paced environments where ambiguity is the norm. Experience Requirement: Minimum 1-2 years of executive support or similar administrative experience required. Language Requirements: Business level English proficiency required for effective communication and documentation. Spanish language skills are a plus .",https://id.jobstreet.com/job/90749774?type=standard&ref=search-standalone&origin=cardTitle#sol=a8fe17f7f9460d489b63100c5ab2e3da65f8999d,data scientist
IoT Developer for Mining Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),North Kalimantan,Rp 4.000.000 – Rp 6.000.000 per month,,1h ago,"About the role We are seeking an experienced IoT Developer to join our team at PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH) in North Kalimantan. As an IoT Developer for the Mining Industry, you will play a crucial role in designing and developing innovative IoT solutions that optimise operations and enhance productivity within the mining sector. What you'll be doing Develop and implement IoT-based systems and applications for mining operations Design and build robust, scalable, and secure IoT architectures Integrate IoT sensors, devices, and platforms with existing mining infrastructure Analyse and interpret data collected from IoT systems to generate actionable insights Collaborate with cross-functional teams, including engineers, data scientists, and subject matter experts Stay up-to-date with the latest IoT technologies, trends, and best practices Contribute to the continuous improvement and evolution of our IoT solutions What we're looking for Minimum 3 years of experience in IoT application development, preferably in the mining industry Strong proficiency in programming languages such as Python, Java, or C++ Familiarity with IoT protocols, technologies, and platforms (e.g. MQTT, LoRaWAN, AWS IoT, Azure IoT) Experience in integrating IoT systems with cloud platforms and data analytics tools Understanding of mining operations and familiarity with industry-specific challenges and requirements Excellent problem-solving and critical thinking skills Ability to work collaboratively in a team environment What we offer At PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH), we believe in fostering a dynamic and supportive work environment. You'll have the opportunity to work on cutting-edge IoT projects, collaborate with talented professionals, and contribute to the transformation of the mining industry. We offer competitive compensation, opportunities for career development, and a range of benefits to support your work-life balance. About us PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH) is a leading provider of technology solutions for the mining industry. We specialise in developing innovative IoT-based applications that drive efficiency, safety, and sustainability in mining operations. With a team of passionate and skilled professionals, we are committed to pushing the boundaries of what's possible in the mining sector. If you're ready to embark on an exciting and impactful journey, apply now to become our next IoT Developer for the Mining Industry.",https://id.jobstreet.com/job/90748987?type=standard&ref=search-standalone&origin=cardTitle#sol=3ee31db3d9e9b5a4788ae08d681d7b78e0ed50f6,data scientist
Data Analyst Staff,PT Global Retailindo Pratama (Minimart ),Denpasar,,,1h ago,"Kesempatan PT Global Retailindo Pratama (M Mart) mencari Data Analyst Staff yang ahli dan berdedikasi untuk bergabung dengan tim kami di Denpasar, Bali. Sebagai Data Analyst Staff, Anda akan memainkan peran kunci dalam mengumpulkan, menganalisis, dan memberikan wawasan dari data bisnis kami untuk mendukung pengambilan keputusan yang lebih baik. Kandidat yang ideal memiliki keterampilan analitis yang tajam, kemampuan teknis yang kuat, dan pemahaman mendalam tentang sektor ritel. Tanggung Jawab Mengumpulkan, menganalisis, dan menginterpretasikan data dari berbagai sumber untuk mengidentifikasi tren, pola, dan wawasan yang berharga. Merancang dan mengembangkan laporan, dashboard, dan visualisasi data untuk menyampaikan temuan secara efektif kepada pemangku kepentingan. Berkoordinasi dengan tim operasional dan fungsional lainnya untuk memahami kebutuhan data dan membangun solusi yang sesuai. Persyaratan Gelar sarjana dalam bidang Ilmu Data, Statistik, Teknik Informatika, atau disiplin ilmu terkait. Fresh graduate dipersilahkan melamar, memiliki pengalaman teknis di industri ritel atau ecommerce lebih disukai Mahir dalam menggunakan alat analisis data seperti SQL, Excel, PowerBI, atau Tableau. Berpengalaman dalam mengumpulkan, memproses, dan menganalisis data kompleks dari berbagai sumber. Memiliki kemampuan komunikasi yang baik untuk menyampaikan wawasan data dengan jelas. Kemampuan bekerja dalam tim yang kolaboratif dan berorientasi pada tujuan. Tentang Kami PT Global Retailindo Pratama (M Mart) adalah pemain terkemuka dalam industri ritel modern di Indonesia. Dengan lebih dari 500 gerai di seluruh Indonesia, kami berkomitmen untuk menyediakan pengalaman berbelanja yang menyenangkan dan nyaman bagi pelanggan kami. Kami menghargai inovasi, kewirausahaan, dan kolaborasi dalam tim kami, serta menjunjung tinggi nilai-nilai integritas, keberagaman, dan kesejahteraan karyawan. Jika Anda tertarik untuk bergabung dengan tim kami yang dinamis dan berdedikasi, lamar posisi ini sekarang juga!",https://id.jobstreet.com/job/90748693?type=standard&ref=search-standalone&origin=cardTitle#sol=282c5a5d4c9e81647bfd5c98094bbfceaae340ea,data scientist
Trader / Market Analyst (Forex/Crypto),PT. Indo Inovasi Teknologi,Bali,Rp 4.500.000 – Rp 6.500.000 per month,,1h ago,"Job Desc: Mengelola hubungan dengan pelanggan existing untuk meningkatkan tingkat retensi dan mengurangi churn melalui komunikasi yang proaktif dan berkelanjutan. Menangani keluhan, kendala, atau keberatan pelanggan secara efektif serta memberikan solusi yang tepat guna mencegah pelanggan berhenti menggunakan produk atau layanan. Menganalisis data perilaku pelanggan, feedback, dan laporan persentase menurunnya active rate untuk mengidentifikasi risiko serta menyusun strategi retensi yang berbasis data. Menjalankan program loyalitas, follow-up pelanggan, dan kampanye retensi (promo, upselling, cross-selling) sesuai dengan segmentasi pelanggan. Requirements: Mampu menganalisa pasar dan pergerakan grafik secara fundamental maupun teknikal. Mampu memberikan edukasi ke klien secara menyeluruh perihal materi yang berkaitan dengan pasar. Mahir berbahasa inggris dalam konteks bisnis. Mempunyai artikulasi dan kosa kata yang jelas dan lugas. Bisa berekspresi secara maksimal. Memiliki pengetahuan dalam bidang market (Forex/Crypto/Komoditas) . Benefits: Hari kerja Senin - Jumat (Sabtu – Minggu libur). Gaji pokok 4.5 – 6.5 Juta (sesuai skill dan pengalaman). Komisi diluar gaji pokok (Unlimited). Lingkungan kerja yang positif dan suportif. Bonus bulanan, triwulan dan tahunan.",https://id.jobstreet.com/job/90747307?type=standard&ref=search-standalone&origin=cardTitle#sol=c48ef85e0933e4ad84c34a94ba80f81d85a1335c,data scientist
Business Intelligence,Altius Hospital,West Jakarta,,,1h ago,"Job Descriptions: Develop, implement, and maintain leading-edge analytical systems, taking complex problems and building simple frameworks Identify trends and opportunities for growth through the analysis of complex data sets Evaluate organizational methods and provide source-to-target mapping and information model specification documents for data sets Create best practice reports based on data mining, analysis, and visualization Evaluate internal systems for efficiency, issues, and inaccuracies, and develop and maintain protocols for handling, processing, and cleaning data Requirements: Bachelor's degree in Information Technology, Informatics Engineering, Information Systems, Computer Science, Statistics or related major from reputable university with min. 3.00 GPA Min. 2 years experience working as a Revenue Analyst (form Hospital or Hotel background would be a plus) Strong research and analytical skills Proficient in excel and understand basic SQL server query",https://id.jobstreet.com/job/90747254?type=standard&ref=search-standalone&origin=cardTitle#sol=10132890bcb4fda8819bc3e5ddbaa4f933619844,data scientist
Data Analyst Staff,PT Mazuta Bima Tek,Surabaya,,,2h ago,"PT Mazuta Bima Tek' is seeking an experienced Data Analyst to join our dynamic team in Surabaya, East Java. As a Data Analyst, you will play a crucial role in transforming data into actionable insights that drive strategic decision-making. This full-time position is an excellent opportunity for professionals with a passion for data-driven problem-solving. What you'll be doing Collect, analyse and interpret complex data from various sources to identify trends and patterns Develop and maintain robust data models and dashboards to present insights in a clear and impactful manner Collaborate with cross-functional teams to understand business objectives and translate them into data-driven solutions Provide data-driven recommendations to improve business performance and inform strategic decisions Support the implementation of data-driven initiatives and monitor their effectiveness Continuously seek opportunities to enhance data collection, analysis and reporting processes What we're looking for Bachelor's degree in a quantitative field such as Statistics, Mathematics, Computer Science or a related discipline Minimum 1 years of experience as a Data Analyst or in a similar data-driven role Strong proficiency in data analysis tools and techniques, such as SQL, Python, R, and data visualization software Excellent problem-solving and critical thinking skills with the ability to derive insights from complex data Familiarity with data management best practices, including data cleaning, transformation and modelling Excellent communication skills to present data-driven insights to both technical and non-technical stakeholders Collaborative mindset and the ability to work effectively in a team environment",https://id.jobstreet.com/job/90746497?type=standard&ref=search-standalone&origin=cardTitle#sol=2d4dd3e57f7b356b2484b689c114e9847e76ed70,data scientist
Enterprise Data AI Architect,Macquarie Group,Indonesia,,,3h ago,"Additional office locations Sydney Job ID 20806 Date 05-Mar-2026 Permanent - Full time, Senior Job category Other, Technology - Data Architect As the Enterprise AI Architect, you will develop and oversee the AI architecture that supports safe and efficient adoption of AI at Macquarie. You will define reference patterns and roadmaps, establish best practices for deploying AI models, and ensure solutions are aligned with business needs. Your role will involve partnering with senior leaders and a network of architects and engineers to deliver measurable outcomes, while embedding governance and risk management into every stage of the AI lifecycle. You will also champion privacy and security and help shape our approach to AI tooling and platform choices. As the Enterprise AI Architect, you will develop and oversee the AI architecture that supports safe and efficient adoption of AI at Macquarie. You will define reference patterns and roadmaps, establish best practices for deploying AI models, and ensure solutions are aligned with business needs. Your role will involve partnering with senior leaders and a network of architects and engineers to deliver measurable outcomes, while embedding governance and risk management into every stage of the AI lifecycle. You will also champion privacy and security and help shape our approach to AI tooling and platform choices.",https://id.jobstreet.com/job/90743883?type=standard&ref=search-standalone&origin=cardTitle#sol=48c0d81869e22dce7ce0c4a883718cb27e828185,data scientist
Deep Learning Researcher - AI Programmer,"FinShot, Inc.",Jakarta,Rp 8.000.000 – Rp 11.000.000 per month,,3h ago,"Job Description Research and development of deep learning-based technologies and algorithms Research on image processing and analysis models Development of solutions using Generative AI and Large Language Models (LLM) Fine-tuning of LLM models and design of custom datasets Research and development of Retrieval-Augmented Generation(RAG) systems Requirements: Bachelor’s degree in Computer Science, Engineering, or related field Proficiency in Python Experience with deep learning framework such as Pytorch or TensorFlow Ability to implement solutions based on academic papers and technical research Prior research experience in Generative AI and LLMs. Availability for an online assessment (with screen and camera recording) Preferred Qualifications: Experience with Natural Language Processing (NLP) libraries such as Hugging Face Transformers Publications or contributions to open-source project in AI/ML fields Knowledge of MLOps principles for scaling machine learning workflows and automation Passion for the AI / Security List Additional qualifications: Adaptability and eagerness to learn Strong teamwork and collaboration skills Proactive and quick learner Experience From Entry-level to experienced in the Development field Office Address 23rd Floor, Menara Prima Building, Kuningan Area, Central Jakarta, Indonesia 12950 Mandatory Checkpoints This position will be under the employment of Comtrue Technologies , a company based in South Korea. Comtrue Technologies and FinShot share the same CEO and operate as sister companies. ComTrue specializes in the development, maintenance, and management of security-related programs and solutions in South Korea. Please refer to the company link below for more details.(websites) Salary We offer competitive salary . Salary will be elevated based on the candidate's skills and experience From Entry-level to 3 years' experience: Rp 8,000,000 ~ 11,000,000 Over 3 year's experience: Rp 11,000,000 ~ 14,000,000 Benefits Incentive / Project Rewards BPJS Opportunity to work on diverse projects with a global team. Chance to develop innovative apps with South Korea’s leading fintech company. Experience creating solutions for government and major financial institutions in South Korea. Websites Company - http://www.comtrue.com/comtrue/ - https://finshot.com/jv/home_jv/",https://id.jobstreet.com/job/90738283?type=standard&ref=search-standalone&origin=cardTitle#sol=027fc979f1832eba271801f2e590521595a5b503,data scientist
AI & Data Scientist (FMCG -  Contract Based),PT. Berca Hardayaperkasa,Jakarta,,,4h ago,"Placement: FMCG Company Employment Status: Contract Job Description Lead Solution and Data Analysis teams to deliver strategic IT initiatives Engage with business stakeholders to identify challenges and develop technology-driven solutions Conduct research and propose innovative solutions to support business growth Lead end-to-end implementation of IT solutions, including Master Data Management initiatives Manage and optimize the use of GenAI tools (e.g., M365 Copilot) to enhance productivity and idea generation Guide the data analysis team in conducting structured, hypothesis-driven analysis Drive continuous improvement initiatives within the data lake environment Monitor project progress and provide regular reporting to stakeholders Requirements Proven experience in FMCG or Retail industry Strong experience in data analysis and IT solution leadership Experience leading technology implementation projects Familiarity with emerging technologies and data platforms Strong communication, leadership, and stakeholder management skills Ability to mentor teams and drive data-driven decision making",https://id.jobstreet.com/job/90742601?type=standard&ref=search-standalone&origin=cardTitle#sol=33da605788e653921236987966e0c89db7f1bb75,data scientist
Data Architect (GCP),PT Nityo Infotech,Central Jakarta,,,4h ago,"1) Designs end-to-end data pipelines, defines ETL/ELT strategies, and ensures efficient, reliable data flow across GCP services. 2) Good skilful profiles are required to handle our strategic customer. 3) Should be senior practitioner/senior level.",https://id.jobstreet.com/job/90742410?type=standard&ref=search-standalone&origin=cardTitle#sol=c4a9aedcbca9ada5fd80757fd5cfe447538cc833,data scientist
